"WOS:000255436500043";"Belmonte,LE"
"WOS:000255436500044";"Belmonte,LE"
"WOS:000255436500045";"Plaza,AG"
"WOS:000255436500046";"Plaza,AG"
"WOS:000255436500047";"Plaza,AG"
"WOS:000255436500048";"Plaza,AG"
"WOS:000255436500049";"Chocron,S"
"WOS:000255436500050";"Chocron,S"
"WOS:000265278300002";"Barreto, S"
"WOS:000265278300002";"Ordonez Flores,E"
"WOS:000250675500008";"Hyland, K"
"WOS:000250675500008";"Salager-Meyer,F"
"WOS:000257192000005";"Porras,MDC"
"WOS:000257192000007";"Hernandez,M"
"WOS:000261071400008";"Lenmann,CR"
"WOS:000255482300008";"Quintero, I"
"WOS:000255482300008";"Almarza,AR"
"WOS:000267937500008";"Camacho,C"
"WOS:000265278300005";"Barreto,S"
"WOS:000257192000008";"Contreras,MS"
"WOS:000257192000003";"Rodriguez,YEM"
"WOS:000257192000004";"Bravo,C"
"WOS:000257192000002";"Angelucci, L"
"WOS:000257192000002";"Juarez, JF"
"WOS:000257192000002";"Dakduk, S"
"WOS:000257192000002";"Lezama, J"
"WOS:000257192000002";"Moreno, A"
"WOS:000257192000002";"Serrano,A"
"WOS:000257192000006";"Arocha,CA"
"WOS:000264128400013";"Rodriguez-Bello, LI"
"WOS:000264128400013";"Ramirez,Y"
"WOS:000260624500009";"Calanche,CC"
"WOS:000268233500004";"Suarez,ML"
"WOS:000268233500007";"Beauregard,PS"
"WOS:000261493400004";"Alvarez,CR"
"WOS:000268231300004";"Calanche,CC"
"WOS:000261209400006";"Valcarcel,JL"
"WOS:000252146400027";"Ellner,S"
"WOS:000250022400007";"Salager-Meyer, F"
"WOS:000250022400007";"Ariza, MAA"
"WOS:000250022400007";"Berbesi,MP"
"WOS:000257191900005";"Oropeza,BP"
"WOS:000257191900004";"Guitian,D"
"WOS:000257191900002";"Matera, M"
"WOS:000257191900002";"Medina,R"
"WOS:000257191900007";"Cardenas,AA"
"WOS:000249822900013";"Valbuena,C"
"WOS:000248547700001";"Davila, LR"
"WOS:000248547700001";"Ramos,J"
"WOS:000248547700003";"Damas,GC"
